Timestamp,Date of Visit,First Name,Last Name,Grade Level,Escorting Staff,*Zones of Regulation Check* Entry,*Zones of Regulation Check* Exit,Time in,Time Out
2023/11/29 9:01:33 AM CST,2023-11-01,Azariah,Campbell,4,Kim,Green,N/A,8:55,9:07
2023/11/29 9:02:25 AM CST,2023-11-01,Kennedy,Blake,5,Maggie,Yellow,Green,9:03,9:24
2023/11/29 9:04:09 AM CST,2023-11-01,Leona,Chambers,5,Maggie,Red,Yellow,12:01,12:14
2023/11/29 9:04:53 AM CST,2023-11-01,Kyler,Harrison,5,Marisa,Blue,Yellow,12:02,12:14
2023/11/29 9:05:51 AM CST,2023-11-01,Caelum,Sinclair,5,Marisa,Red,Yellow,12:02,12:14
2023/11/29 9:08:56 AM CST,2023-11-01,Zander,Montgomery,5,Marisa,Yellow,Yellow,12:10,12:19
2023/11/29 9:10:25 AM CST,2023-11-01,Seraphina,Rivers,5,CC/SEA,Yellow,Green,12:28,12:36
2023/11/29 9:11:40 AM CST,2023-11-01,Antonius,Hayes,3,Maggie,Red,Yellow,13:43,13:53
2023/11/29 9:13:04 AM CST,2023-11-01,Tyrell,Harper,4,Maggie,Yellow,Green,13:43,13:56
2023/11/29 9:13:37 AM CST,2023-11-01,Jayden,Montgomery,4,CC/SEA,Yellow,Green,14:02,14:10
2023/11/29 9:14:40 AM CST,2023-11-02,Calyx,Sheridan,K,Maggie,Blue,N/A,8:15,8:25
2023/11/29 9:16:19 AM CST,2023-11-02,Juniper,Olsen,4,Maggie,Red,Blue,9:03,9:13
2023/11/29 9:16:53 AM CST,2023-11-02,Aria,Montgomery,4,Maggie,Green,Green,9:44,9:55
2023/11/29 9:17:38 AM CST,2023-11-02,Caelum,Sinclair,5,CC/SEA,Yellow,Green,10:20,10:33
2023/11/29 9:18:12 AM CST,2023-11-02,Anton,Mercer,4,Maggie,Red,Green,10:30,10:34
2023/11/29 9:22:44 AM CST,2023-11-02,Elias,Chase,4,Maggie,Yellow,Green,10:42,11:05
2023/11/29 9:25:28 AM CST,2023-11-02,Lyra,Summers,4,CC/SEA,Red,Green,10:55,11:01
2023/11/29 9:28:03 AM CST,2023-11-02,Calyx,Sheridan,K,Marquita,Yellow,N/A,13:15,13:20
2023/11/29 9:31:09 AM CST,2023-11-02,Zephyr,Vega,5,Kim,Yellow,Green,12:30,12:40
2023/11/29 9:32:20 AM CST,2023-11-02,Kaelan,Hunter,4,CC/SEA,Blue,Green,12:30,12:40
2023/11/29 9:33:27 AM CST,2023-11-02,Amara,Tate,5,Jannet,Blue,Red,13:52,14:33
2023/11/29 12:35:05 PM CST,2023-11-06,Tyrell,Harper,4,Maggie,N/A,N/A,10:19,10:25
2023/11/29 12:36:58 PM CST,2023-11-06,Talia,Montgomery,5,Maggie,Yellow,Yellow,10:49,11:30
2023/11/29 12:38:17 PM CST,2023-11-07,Kaelan,Hunter,4,Maggie,Blue,Blue,14:07,14:14
2023/11/29 12:39:39 PM CST,2023-11-08,Brielle,Ramirez,2,CC/SEA,Blue,N/A,8:58,9:05
2023/11/29 12:40:15 PM CST,2023-11-08,Jayden,Montgomery,4,Kim,Yellow,Green,10:25,10:35
2023/11/29 12:45:20 PM CST,2023-11-08,Anton,Mercer,4,Marquita,Yellow,Green,10:25,10:35
2023/11/29 12:46:32 PM CST,2023-11-08,Arian,Jackson,4,Maggie,Red,Green,12:00,13:30
2023/11/29 12:47:08 PM CST,2023-11-08,Ryder,Locke,K,CC/SEA,Red,N/A,12:16,12:30
2023/11/29 12:47:41 PM CST,2023-11-08,Emery,Hayes,4,Nora,Yellow,N/A,13:30,13:50
2023/11/29 12:50:52 PM CST,2023-11-08,Mira,Flynn,3,Maggie,Red,Yellow,14:00,14:11
2023/11/29 12:51:59 PM CST,2023-11-09,Leona,Cabrera,K,Maggie,Blue,N/A,8:42,8:54
2023/11/29 12:57:07 PM CST,2023-11-09,Dorian,Bennett,4,Kyla,Red,Green,11:00,11:15
2023/11/29 12:57:46 PM CST,2023-11-09,Elias,Chase,4,CC/SEA,Yellow,Green,11:01,11:15
